SEQNO,SYSID,JOBNAME,MSGID,TIMESTMP,USERID,TEXT,LABEL
252,MVSF,JES2,PREFIX,09.39.03,START1,-WTOR1,normal
253,MVSF,PM0,IEF196I,09.20.37,START1,IP..PORT: 66.167.166.156..8996,normal
254,MVSF,OPSS,ERR4014,09.47.00,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
255,MVSF,START1,PMO388I,09.09.48,USER325M,-WTO2,normal
256,MVSF,JES2,IEF403I,09.25.17,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
257,MVSF,USER325M,PMO388I,09.16.55,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
258,MVSF,JES2,PMO388I,09.10.54,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
259,MVSF,JES2,PREFIX,09.10.52,START1,-WTOR1,normal
260,MVSF,OPSS,IEF403I,09.26.50,SYSOP,IP..PORT: 66.167.166.156..8996,normal
261,MVSF,OPSS,PMO396I,09.19.12,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
262,MVSF,JES2,ERR4014,09.07.20,START1,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
263,MVSF,OPSS,IEF403I,09.27.20,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
264,MVSF,USER325M,PMO396I,09.34.25,START1,-STEPEND,normal
265,MVSF,OPSS,PMO396I,09.26.53,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
266,MVSF,START1,IEF403I,09.34.45,START1,-WTO1,normal
267,MVSF,START1,IEF285I,09.31.11,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
268,MVSF,USER325M,IEF403I,09.42.05,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
269,MVSF,PM0,PMO396I,09.38.25,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
270,MVSF,START1,IEF403I,09.21.00,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
271,MVSF,START1,EZZ6034I,09.32.47,USER325,-WTO2,normal
272,MVSF,OPSS,ERR4014,09.39.05,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
273,MVSF,PM0,PMO388I,09.13.55,START1,-WTO1,normal
274,MVSF,START1,PMO388I,09.14.09,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
275,MVSF,USER325,PMO396I,09.31.22,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
276,MVSF,USER325,EZZ6034I,09.16.49,USER325M,-STEPEND,normal
277,MVSF,PM0,IEF403I,09.48.07,START1,-STEPEND,normal
278,MVSF,OPSS,EZZ6034I,09.39.08,SYSOP,-STEPEND,normal
279,MVSF,CONSOLE,PREFIX,09.02.52,USER325M,-WTOR1,normal
280,MVSF,USER325,PMO388I,09.13.47,SYSOP,-STEPEND,normal
281,MVSF,START1,IEF403I,09.50.34,SYSOP,-WTO1,normal
282,MVSF,OPSS,PMO396I,09.06.50,START1,-WTO2,normal
283,MVSF,START1,EZZ6034I,09.10.46,START1,-WTO1,normal
284,MVSF,JES2,ERR4014,09.19.36,USER325M,ALERT: Disk usage at 95% - action required,critical
285,MVSF,USER325,IEF196I,09.28.31,USER325,-WTO2,normal
286,MVSF,PM0,PMO388I,09.59.32,USER325M,IP..PORT: 66.167.166.156..8996,normal
287,MVSF,CONSOLE,PMO396I,09.31.01,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
288,MVSF,CONSOLE,DBSERR01,09.13.09,OPSS,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
289,MVSF,PM0,CRIT1000,09.23.00,USER325M,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
290,MVSF,JES2,DBSERR01,09.29.11,SYSOP,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
291,MVSF,USER325M,IEF196I,09.22.05,USER325,-WTO1,normal
292,MVSF,CONSOLE,PMO388I,09.39.45,SYSOP,-STEPEND,normal
293,MVSF,OPSS,EZZ6034I,09.45.35,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
294,MVSF,PM0,EZZ6034I,09.08.00,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
295,MVSF,USER325M,IEF285I,09.51.02,SYSOP,IP..PORT: 66.167.166.156..8996,normal
296,MVSF,JES2,ERR4014,09.16.53,SYSOP,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
297,MVSF,OPSS,PMO388I,09.38.30,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
298,MVSF,USER325,PMO396I,09.22.23,SYSOP,-WTO2,normal
299,MVSF,OPSS,EZZ6034I,09.34.50,START1,-WTO2,normal
300,MVSF,START1,PMO396I,09.03.56,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
301,MVSF,JES2,EZZ6034E,09.00.12,USER325,ALERT: Disk usage at 95% - action required,critical
302,MVSF,OPSS,IEF403I,09.32.13,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
303,MVSF,USER325M,IEF285I,09.30.37,START1,$HASP395 USER325M ENDED - RC=0000,normal
304,MVSF,PM0,EZZ6034I,09.58.43,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
305,MVSF,PM0,PREFIX,09.15.12,OPSS,-WTOR2,normal
306,MVSF,START1,CRIT1000,09.25.53,USER325,ALERT: Disk usage at 95% - action required,critical
307,MVSF,OPSS,IEF403I,09.55.15,START1,-WTO2,normal
308,MVSF,USER325,PREFIX,09.04.35,OPSS,-WTO3,normal
309,MVSF,PM0,EZZ6034I,09.03.01,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
310,MVSF,USER325,IEF196I,09.55.41,SYSOP,-WTO1,normal
311,MVSF,CONSOLE,EZZ6034I,09.59.49,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
312,MVSF,OPSS,PMO388I,09.38.00,SYSOP,-STEPEND,normal
313,MVSF,OPSS,PREFIX,09.23.30,START1,-WTOR2,normal
314,MVSF,CONSOLE,PMO388I,09.25.41,USER325,$HASP395 USER325M ENDED - RC=0000,normal
315,MVSF,JES2,IEF285I,09.31.36,OPSS,-STEPEND,normal
316,MVSF,USER325,PREFIX,09.17.24,USER325,-WTO4,normal
317,MVSF,START1,PMO388I,09.49.27,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
318,MVSF,USER325,PMO396I,09.54.55,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
319,MVSF,JES2,DBSERR01,09.22.43,USER325M,ALERT: Disk usage at 95% - action required,critical
320,MVSF,USER325,IEF285I,09.47.29,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
321,MVSF,JES2,IEF285I,09.19.19,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
322,MVSF,START1,IEF403I,09.33.56,START1,-STEPEND,normal
323,MVSF,USER325,PREFIX,09.25.18,USER325M,-WTOR2,normal
324,MVSF,OPSS,PMO396I,09.17.48,SYSOP,-WTO2,normal
325,MVSF,USER325,PMO388I,09.22.31,USER325,-STEPEND,normal
326,MVSF,CONSOLE,ERR4014,09.52.06,START1,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
327,MVSF,PM0,PMO388I,09.54.16,USER325M,IP..PORT: 66.167.166.156..8996,normal
328,MVSF,START1,ERR4014,09.02.18,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
329,MVSF,JES2,IEF196I,09.43.03,USER325,$HASP395 USER325M ENDED - RC=0000,normal
330,MVSF,CONSOLE,IEF285I,09.04.07,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
331,MVSF,OPSS,PMO396I,09.00.27,SYSOP,IP..PORT: 66.167.166.156..8996,normal
332,MVSF,OPSS,PMO396I,09.34.17,START1,-STEPEND,normal
333,MVSF,START1,PREFIX,09.10.09,USER325,-WTO3,normal
334,MVSF,OPSS,IEF403I,09.25.28,START1,-STEPEND,normal
335,MVSF,PM0,EZZ6034I,09.56.31,OPSS,-WTO2,normal
336,MVSF,USER325M,EZZ6034E,09.25.44,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
337,MVSF,USER325M,EZZ6034I,09.57.42,START1,-WTO1,normal
338,MVSF,USER325,IEF196I,09.14.25,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
339,MVSF,USER325,IEF196I,09.58.03,USER325M,-STEPEND,normal
340,MVSF,CONSOLE,IEF285I,09.11.05,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
341,MVSF,USER325M,PMO388I,09.51.34,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
342,MVSF,OPSS,IEF196I,09.06.40,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
343,MVSF,OPSS,PMO396I,09.43.17,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
344,MVSF,USER325M,IEF285I,09.12.40,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
345,MVSF,PM0,PMO396I,09.05.01,OPSS,-STEPEND,normal
346,MVSF,CONSOLE,EZZ6034I,09.24.37,OPSS,-WTO1,normal
347,MVSF,JES2,PREFIX,09.18.24,OPSS,-WTOR2,normal
348,MVSF,START1,IEF285I,09.37.52,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
349,MVSF,START1,IEF403I,09.40.49,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
350,MVSF,PM0,PMO388I,09.38.11,USER325,$HASP395 USER325M ENDED - RC=0000,normal
351,MVSF,CONSOLE,PMO388I,09.20.33,USER325M,-WTO1,normal
352,MVSF,CONSOLE,PMO388I,09.33.03,OPSS,-STEPEND,normal
353,MVSF,USER325M,PREFIX,09.07.18,USER325,-WTOR2,normal
354,MVSF,JES2,PREFIX,09.58.51,USER325M,-WTOR1,normal
355,MVSF,CONSOLE,EZZ6034I,09.41.10,USER325,-WTO1,normal
356,MVSF,PM0,PMO388I,09.47.26,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
357,MVSF,JES2,CRIT1000,09.53.38,START1,ALERT: Disk usage at 95% - action required,critical
358,MVSF,PM0,PREFIX,09.52.24,SYSOP,-WTO4,normal
359,MVSF,JES2,DBSERR01,09.47.17,OPSS,ALERT: Disk usage at 95% - action required,critical
360,MVSF,PM0,ERR4014,09.20.40,USER325,ALERT: Disk usage at 95% - action required,critical
361,MVSF,USER325M,PMO388I,09.40.49,START1,$HASP395 USER325M ENDED - RC=0000,normal
362,MVSF,JES2,EZZ6034I,09.24.32,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
363,MVSF,PM0,PREFIX,09.45.22,USER325M,-WTO3,normal
364,MVSF,JES2,PMO396I,09.29.23,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
365,MVSF,USER325M,PMO396I,09.25.32,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
366,MVSF,CONSOLE,EZZ6034I,09.01.40,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
367,MVSF,CONSOLE,IEF196I,09.21.17,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
368,MVSF,CONSOLE,IEF285I,09.32.30,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
369,MVSF,OPSS,IEF403I,09.55.18,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
370,MVSF,START1,IEF196I,09.11.54,SYSOP,-WTO1,normal
371,MVSF,USER325,PMO396I,09.54.27,START1,$HASP395 USER325M ENDED - RC=0000,normal
372,MVSF,OPSS,EZZ6034I,09.50.20,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
373,MVSF,PM0,PMO388I,09.14.39,USER325,$HASP395 USER325M ENDED - RC=0000,normal
374,MVSF,JES2,EZZ6034E,09.59.31,SYSOP,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
375,MVSF,PM0,PMO388I,09.58.53,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
376,MVSF,START1,PMO396I,09.07.47,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
377,MVSF,PM0,IEF285I,09.09.08,USER325M,-STEPEND,normal
378,MVSF,START1,IEF285I,09.26.31,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
379,MVSF,USER325,PMO396I,09.33.13,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
380,MVSF,USER325M,IEF285I,09.19.43,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
381,MVSF,USER325M,EZZ6034E,09.09.19,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
382,MVSF,PM0,PREFIX,09.33.34,START1,-WTOR2,normal
383,MVSF,JES2,IEF285I,09.51.57,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
384,MVSF,JES2,PMO396I,09.31.13,SYSOP,-STEPEND,normal
385,MVSF,CONSOLE,EZZ6034E,09.52.54,SYSOP,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
386,MVSF,USER325M,IEF196I,09.06.59,USER325,IP..PORT: 66.167.166.156..8996,normal
387,MVSF,CONSOLE,PREFIX,09.58.51,OPSS,-WTOR2,normal
388,MVSF,JES2,PREFIX,09.50.21,SYSOP,-WTO4,normal
389,MVSF,JES2,ERR4014,09.14.06,USER325,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
390,MVSF,CONSOLE,PMO396I,09.48.03,USER325M,-STEPEND,normal
391,MVSF,JES2,PMO396I,09.53.38,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
392,MVSF,USER325,PREFIX,09.09.59,USER325M,-WTO4,normal
393,MVSF,START1,ERR4014,09.43.10,USER325M,ALERT: Disk usage at 95% - action required,critical
394,MVSF,START1,IEF196I,09.51.11,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
395,MVSF,START1,ERR4014,09.00.10,OPSS,ALERT: Disk usage at 95% - action required,critical
396,MVSF,JES2,EZZ6034I,09.36.29,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
397,MVSF,CONSOLE,IEF285I,09.56.32,USER325M,IP..PORT: 66.167.166.156..8996,normal
398,MVSF,PM0,PMO396I,09.52.02,OPSS,IP..PORT: 66.167.166.156..8996,normal
399,MVSF,JES2,PMO388I,09.10.47,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
400,MVSF,PM0,PMO388I,09.20.36,USER325,-WTO2,normal
401,MVSF,OPSS,EZZ6034E,09.25.23,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
402,MVSF,PM0,EZZ6034I,09.06.13,OPSS,-WTO2,normal
403,MVSF,START1,PMO388I,09.15.26,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
404,MVSF,JES2,EZZ6034I,09.28.49,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
405,MVSF,CONSOLE,IEF196I,09.25.05,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
406,MVSF,START1,DBSERR01,09.38.27,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
407,MVSF,USER325M,IEF403I,09.42.03,START1,-WTO2,normal
408,MVSF,START1,IEF196I,09.49.50,START1,-WTO1,normal
409,MVSF,PM0,IEF285I,09.05.45,USER325,-WTO2,normal
410,MVSF,JES2,PMO396I,09.57.49,USER325M,-STEPEND,normal
411,MVSF,PM0,IEF285I,09.03.43,USER325,$HASP395 USER325M ENDED - RC=0000,normal
412,MVSF,CONSOLE,PMO388I,09.21.36,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
413,MVSF,JES2,ERR4014,09.32.09,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
414,MVSF,OPSS,IEF403I,09.53.52,START1,-WTO2,normal
415,MVSF,USER325M,EZZ6034I,09.47.54,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
416,MVSF,OPSS,PMO396I,09.21.09,OPSS,-WTO1,normal
417,MVSF,USER325M,IEF285I,09.40.02,OPSS,-WTO1,normal
418,MVSF,OPSS,IEF285I,09.29.39,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
419,MVSF,OPSS,IEF403I,09.48.19,USER325,-WTO1,normal
420,MVSF,USER325,IEF403I,09.25.23,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
421,MVSF,JES2,EZZ6034E,09.29.18,USER325M,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
422,MVSF,USER325M,PMO396I,09.34.52,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
423,MVSF,CONSOLE,DBSERR01,09.52.47,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
424,MVSF,OPSS,EZZ6034E,09.58.37,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
425,MVSF,JES2,PMO388I,09.02.24,SYSOP,-WTO1,normal
426,MVSF,USER325,ERR4014,09.28.24,USER325M,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
427,MVSF,USER325,IEF403I,09.15.14,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
428,MVSF,JES2,PREFIX,09.19.16,USER325M,-WTO3,normal
429,MVSF,CONSOLE,IEF196I,09.38.29,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
430,MVSF,PM0,IEF403I,09.37.18,USER325,IP..PORT: 66.167.166.156..8996,normal
431,MVSF,START1,PREFIX,09.23.38,OPSS,-WTO3,normal
432,MVSF,OPSS,EZZ6034I,09.14.00,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
433,MVSF,OPSS,IEF196I,09.02.59,USER325,-WTO1,normal
434,MVSF,PM0,EZZ6034I,09.05.47,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
435,MVSF,USER325M,PMO388I,09.45.13,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
436,MVSF,PM0,IEF403I,09.56.47,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
437,MVSF,JES2,IEF196I,09.52.34,SYSOP,-WTO2,normal
438,MVSF,USER325M,PMO388I,09.08.14,SYSOP,IP..PORT: 66.167.166.156..8996,normal
439,MVSF,USER325M,IEF285I,09.18.05,OPSS,IP..PORT: 66.167.166.156..8996,normal
440,MVSF,USER325,CRIT1000,09.57.03,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
441,MVSF,USER325M,EZZ6034I,09.35.03,OPSS,-WTO2,normal
442,MVSF,JES2,IEF285I,09.30.52,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
443,MVSF,OPSS,PMO388I,09.00.48,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
444,MVSF,JES2,PREFIX,09.27.20,USER325M,-WTO4,normal
445,MVSF,JES2,PREFIX,09.05.07,OPSS,-WTO3,normal
446,MVSF,OPSS,EZZ6034I,09.57.50,USER325M,IP..PORT: 66.167.166.156..8996,normal
447,MVSF,START1,PREFIX,09.29.34,START1,-WTO3,normal
448,MVSF,USER325,PMO388I,09.12.46,USER325M,-WTO1,normal
449,MVSF,PM0,EZZ6034E,09.20.08,START1,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
450,MVSF,USER325M,IEF196I,09.09.22,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
451,MVSF,USER325M,DBSERR01,09.53.22,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
452,MVSF,USER325M,CRIT1000,09.18.27,USER325,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
453,MVSF,JES2,IEF196I,09.32.12,SYSOP,-STEPEND,normal
454,MVSF,OPSS,PMO396I,09.16.55,USER325,-WTO2,normal
455,MVSF,CONSOLE,EZZ6034E,09.57.17,USER325,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
456,MVSF,PM0,EZZ6034I,09.47.49,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
457,MVSF,START1,PMO396I,09.21.05,USER325,-WTO2,normal
458,MVSF,START1,IEF285I,09.32.37,OPSS,-WTO2,normal
459,MVSF,JES2,IEF285I,09.57.38,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
460,MVSF,JES2,EZZ6034I,09.35.55,USER325M,-WTO1,normal
461,MVSF,START1,PREFIX,09.06.53,USER325M,-WTOR1,normal
462,MVSF,PM0,IEF285I,09.21.39,USER325,$HASP395 USER325M ENDED - RC=0000,normal
463,MVSF,PM0,PMO396I,09.40.12,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
464,MVSF,PM0,CRIT1000,09.00.07,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
465,MVSF,START1,PREFIX,09.21.43,SYSOP,-WTO3,normal
466,MVSF,PM0,PMO388I,09.05.18,USER325,-WTO1,normal
467,MVSF,USER325M,EZZ6034I,09.00.46,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
468,MVSF,PM0,IEF403I,09.00.05,OPSS,-STEPEND,normal
469,MVSF,USER325M,DBSERR01,09.23.58,SYSOP,ALERT: Disk usage at 95% - action required,critical
470,MVSF,OPSS,DBSERR01,09.54.33,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
471,MVSF,USER325,IEF196I,09.25.37,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
472,MVSF,PM0,IEF196I,09.02.06,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
473,MVSF,OPSS,PMO388I,09.22.36,USER325,-WTO1,normal
474,MVSF,PM0,PMO396I,09.19.13,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
475,MVSF,USER325,PMO396I,09.03.43,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
476,MVSF,OPSS,EZZ6034I,09.01.45,USER325,IP..PORT: 66.167.166.156..8996,normal
477,MVSF,JES2,IEF403I,09.07.53,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
478,MVSF,PM0,EZZ6034I,09.37.08,START1,-STEPEND,normal
479,MVSF,OPSS,CRIT1000,09.17.58,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
480,MVSF,JES2,IEF403I,09.47.32,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
481,MVSF,START1,PMO396I,09.04.09,START1,$HASP395 USER325M ENDED - RC=0000,normal
482,MVSF,START1,ERR4014,09.16.05,START1,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
483,MVSF,OPSS,EZZ6034I,09.51.41,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
484,MVSF,USER325,PREFIX,09.02.54,START1,-WTO4,normal
485,MVSF,CONSOLE,IEF285I,09.49.38,OPSS,-WTO1,normal
486,MVSF,JES2,PMO396I,09.18.51,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
487,MVSF,USER325,ERR4014,09.10.07,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
488,MVSF,JES2,EZZ6034E,09.19.31,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
489,MVSF,START1,CRIT1000,09.41.34,START1,ALERT: Disk usage at 95% - action required,critical
490,MVSF,USER325M,IEF285I,10.00.00,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
491,MVSF,CONSOLE,IEF196I,09.01.22,USER325M,IP..PORT: 66.167.166.156..8996,normal
492,MVSF,JES2,IEF403I,09.15.33,USER325,IP..PORT: 66.167.166.156..8996,normal
493,MVSF,START1,CRIT1000,09.44.04,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
494,MVSF,JES2,PMO388I,09.03.50,SYSOP,IP..PORT: 66.167.166.156..8996,normal
495,MVSF,USER325,EZZ6034I,09.53.16,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
496,MVSF,USER325,IEF285I,09.02.15,START1,-WTO2,normal
497,MVSF,JES2,IEF285I,09.31.41,SYSOP,-STEPEND,normal
498,MVSF,CONSOLE,IEF196I,09.33.22,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
499,MVSF,CONSOLE,PREFIX,09.11.09,USER325M,-WTOR2,normal
500,MVSF,OPSS,IEF403I,09.11.07,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
501,MVSF,CONSOLE,IEF285I,09.44.28,START1,-WTO2,normal
502,MVSF,PM0,EZZ6034E,09.11.49,SYSOP,ALERT: Disk usage at 95% - action required,critical
503,MVSF,USER325M,PMO396I,09.25.42,USER325M,-STEPEND,normal
504,MVSF,START1,IEF403I,09.06.59,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
505,MVSF,CONSOLE,IEF403I,09.46.43,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
506,MVSF,CONSOLE,IEF403I,09.44.47,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
507,MVSF,PM0,IEF285I,09.21.49,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
508,MVSF,USER325M,IEF403I,09.26.30,OPSS,-STEPEND,normal
509,MVSF,PM0,PREFIX,09.48.41,USER325,-WTO4,normal
510,MVSF,JES2,PMO388I,09.11.36,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
511,MVSF,PM0,IEF285I,09.22.54,OPSS,-STEPEND,normal
512,MVSF,CONSOLE,IEF403I,09.17.47,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
